hyp_loss_function,hyp_hidden_layer_count,hyp_units_per_hidden_layer,hyp_activation_per_hidden_layer,hyp_optimizer,hyp_epochs,hyp_batch_size,hyp_feature_count,hyp_class_count,obj_total_layers,obj_total_nodes,obj_training_time,obj_loss,obj_accuracy,obj_false_positive_rate,obj_false_negative_rate,obj_true_positive_rate,obj_true_negative_rate,obj_f1,obj_precision,obj_auc
cosine_similarity,10,"[118, 126, 83, 103, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,16,30,2,12,949,1.0244839191436768,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7766620498614958
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,622,0.6846489906311035,0.019434180110692978,0.9736842105263158,0.07894736842105263,0.0,1.0,0.9210526315789473,0.14592,0.9620253164556962,0.9982686980609418
cosine_similarity,10,"[118, 126, 83, 38, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,32,30,2,12,884,0.767362117767334,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.035318559556786706
cosine_similarity,7,"[82, 101, 75, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,659,0.5118610858917236,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.15062326869806095
cosine_similarity,10,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,128,30,2,12,837,0.9672558307647705,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5197368421052632
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,585,0.686647891998291,0.023275991901755333,0.956140350877193,0.13157894736842105,0.0,1.0,0.868421052631579,0.23079259034315214,0.9382716049382716,0.9986149584487535
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,622,0.5241940021514893,0.1650380939245224,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7352839335180055
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,585,0.3424489498138428,0.1640343815088272,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.45100415512465375
cosine_similarity,7,"[82, 137, 98, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,718,0.5192830562591553,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.8732686980609419
cosine_similarity,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 101]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,648,0.6489059925079346,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5779085872576177
binary_crossentropy,1,[45],['relu'],rmsprop,20,128,30,2,3,77,0.4287109375,0.15184998512268066,0.956140350877193,0.07894736842105263,0.02631578947368421,0.9736842105263158,0.9210526315789473,0.14590864278672364,0.961038961038961,0.9965373961218836
cosine_similarity,6,"[82, 101, 98, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,8,558,0.4812660217285156,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.15062326869806092
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,585,0.33578014373779297,0.16102774441242218,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.44875346260387805
binary_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,622,0.3178701400756836,0.6465405225753784,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7056786703601108
cosine_similarity,10,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,18,128,30,2,12,837,1.0036191940307617,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.8407202216066483
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 87, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,128,30,2,11,750,1.1384377479553223,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.6907894736842105
cosine_similarity,11,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77, 41]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'relu']",adam,15,128,30,2,13,878,1.0270092487335205,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.5955678670360111
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,585,0.33416008949279785,0.16259655356407166,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.36045706371191133
